"M","valence","par","item","study","TSlength","scale","MpD","pop","retro","TSlength_c","MpD_c"
1,1,5,2,1,163,1,6,0,0,62.1437125748503,0.185714285714286
1,1,5,3,1,163,1,6,0,0,62.1437125748503,0.185714285714286
1,1,5,4,1,163,1,6,0,0,62.1437125748503,0.185714285714286
1,0,5,5,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,0,5,6,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,0,5,7,1,163,1,6,0,0,62.1437125748503,0.185714285714286
1,0,5,8,1,163,1,6,0,0,62.1437125748503,0.185714285714286
1,1,6,1,1,221,1,6,0,0,120.14371257485,0.185714285714286
1,1,6,2,1,221,1,6,0,0,120.14371257485,0.185714285714286
1,1,6,3,1,221,1,6,0,0,120.14371257485,0.185714285714286
1,1,6,4,1,221,1,6,0,0,120.14371257485,0.185714285714286
1,0,6,5,1,221,1,6,0,0,120.14371257485,0.185714285714286
1,0,6,6,1,221,1,6,0,0,120.14371257485,0.185714285714286
1,0,6,7,1,221,1,6,0,0,120.14371257485,0.185714285714286
1,0,6,8,1,221,1,6,0,0,120.14371257485,0.185714285714286
0,1,7,1,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,1,7,2,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,1,7,3,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,1,7,4,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,0,7,5,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,0,7,6,1,219,1,6,0,0,118.14371257485,0.185714285714286
1,0,7,7,1,219,1,6,0,0,118.14371257485,0.185714285714286
1,0,7,8,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,1,8,1,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,1,8,2,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,1,8,3,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,1,8,4,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,0,8,5,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,0,8,6,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,0,8,7,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,0,8,8,1,159,1,6,0,0,58.1437125748503,0.185714285714286
1,1,9,1,1,219,1,6,0,0,118.14371257485,0.185714285714286
1,1,9,2,1,219,1,6,0,0,118.14371257485,0.185714285714286
1,1,9,3,1,219,1,6,0,0,118.14371257485,0.185714285714286
1,1,9,4,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,0,9,5,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,0,9,6,1,219,1,6,0,0,118.14371257485,0.185714285714286
1,0,9,7,1,219,1,6,0,0,118.14371257485,0.185714285714286
0,0,9,8,1,219,1,6,0,0,118.14371257485,0.185714285714286
1,1,10,1,1,225,1,6,0,0,124.14371257485,0.185714285714286
1,1,10,2,1,225,1,6,0,0,124.14371257485,0.185714285714286
1,1,10,3,1,225,1,6,0,0,124.14371257485,0.185714285714286
1,1,10,4,1,225,1,6,0,0,124.14371257485,0.185714285714286
0,0,10,5,1,225,1,6,0,0,124.14371257485,0.185714285714286
1,0,10,6,1,225,1,6,0,0,124.14371257485,0.185714285714286
0,0,10,7,1,225,1,6,0,0,124.14371257485,0.185714285714286
0,0,10,8,1,225,1,6,0,0,124.14371257485,0.185714285714286
0,1,11,1,1,144,1,6,0,0,43.1437125748503,0.185714285714286
1,1,11,2,1,144,1,6,0,0,43.1437125748503,0.185714285714286
1,1,11,3,1,144,1,6,0,0,43.1437125748503,0.185714285714286
1,1,11,4,1,144,1,6,0,0,43.1437125748503,0.185714285714286
0,0,11,5,1,144,1,6,0,0,43.1437125748503,0.185714285714286
1,0,11,6,1,144,1,6,0,0,43.1437125748503,0.185714285714286
0,0,11,7,1,144,1,6,0,0,43.1437125748503,0.185714285714286
0,0,11,8,1,144,1,6,0,0,43.1437125748503,0.185714285714286
1,1,12,1,1,213,1,6,0,0,112.14371257485,0.185714285714286
1,1,12,2,1,213,1,6,0,0,112.14371257485,0.185714285714286
1,1,12,3,1,213,1,6,0,0,112.14371257485,0.185714285714286
1,1,12,4,1,213,1,6,0,0,112.14371257485,0.185714285714286
1,0,12,5,1,213,1,6,0,0,112.14371257485,0.185714285714286
1,0,12,6,1,213,1,6,0,0,112.14371257485,0.185714285714286
1,0,12,7,1,213,1,6,0,0,112.14371257485,0.185714285714286
1,0,12,8,1,213,1,6,0,0,112.14371257485,0.185714285714286
1,1,13,1,1,207,1,6,0,0,106.14371257485,0.185714285714286
